Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,160,,,,1571,155,12.026,3.013,0.02,21.033,74.741,10.61,4.358,20.087,3.33,3.228,0.08,11.788,28.196,8.324,3.67,14.609,1.124,3.074,0.117,10.084,17.012,7.238,3.613,12.357,7.785,3.071,0.054,16.669,52.18,9.38,4.049,17.22
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,167,,,,1601,159,20.432,5.22,0.078,16.529,55.556,8.62,4.615,15.237,6.954,4.688,0.159,12.648,36.075,8.85,3.563,16.775,2.443,4.105,0.041,10.682,27.048,8.257,3.412,15.34,13.123,4.832,0.086,14.262,44.378,8.581,4.094,15.594
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,176,,,,1574,170,20.864,3.108,0.409,8.219,18.021,8.545,3.122,9.373,6.454,3.014,0.34,8.216,22.81,8.474,3.081,13.297,2.416,2.71,0.255,8.407,19.258,8.273,2.997,12.273,13.423,2.994,0.358,8.263,19.346,8.465,3.084,10.901
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,178,,,,1436,172,35.361,2.499,1.027,17.124,20.67,5.435,6.126,10.167,12.136,1.673,0.723,10.111,11.351,3.798,4.055,10.508,4.7,1.233,0.629,8.341,9.25,3.303,3.44,10.24,23.511,2.037,0.873,13.657,16.121,4.606,5.081,10.253
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,179,,,,1558,176,33.305,2.03,0.198,22.659,24.742,9.866,5.844,10.65,7.985,1.598,0.184,17.966,15.942,8.133,3.994,10.896,2.302,1.349,0.464,16.029,15.529,7.47,3.034,10.224,20.228,1.77,0.26,20.019,20.58,8.904,4.755,10.599
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,180,,,,1591,176,24.798,2.313,0.415,10.743,21.713,9.233,3.422,8.983,9.066,2.049,0.363,9.103,20.229,9.437,3.027,12.021,4.012,2.207,0.265,9.274,19.079,9.73,2.694,11.229,17.142,2.239,0.372,10.101,20.841,9.384,3.184,10.066
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,183,,,,1609,182,6.889,3.097,0.029,11.124,37.639,10.156,2.073,14.255,2.53,4.059,0.047,9.72,27.561,9.699,1.826,14.351,0.887,4.017,0.005,10.316,26.043,9.747,1.928,13.878,4.483,3.528,0.027,10.627,32.64,9.958,1.985,14.182
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,186,,,,1464,190,28.646,1.082,0.73,7.361,7.325,5.732,3.753,6.45,8.411,0.696,0.428,7.796,7.382,4.69,2.914,9.266,3.032,0.535,0.839,7.68,6.254,4.268,2.581,7.749,18.737,0.88,0.691,7.523,7.1,5.19,3.318,7.328
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,189,,,,1491,189,18.093,7.199,0.131,9.397,18.224,6.657,3.721,13.542,3.681,6.746,0,5.28,13.36,6.157,3.296,16.368,2.871,5.62,0.189,7.489,15.089,6.772,2.781,13.914,11.916,6.736,0.123,8.229,16.629,6.6,3.419,14.114
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,190,,,,1622,193,18.106,5.528,0.023,14.034,57.557,10.005,3.411,16.633,4.358,5.414,0,12.333,42.323,10.669,2.074,17.434,1.252,5.884,0,11.505,37.937,9.655,2.143,16.368,11.225,5.588,0.013,13.078,49.709,10.063,2.83,16.74
