"","km.res$cluster","name","CD20ng","Mn2n6n","Mn2n6p","Mn2p6n","Mn2p6p","Mp2n6n","Mp2n6p","Mp2p6n","Mp2p6p"
"A1_02_01.RDS",1,"A1_02_01.RDS","403","323","268","557","1390","239","138","373","734"
"A1_02_02.RDS",1,"A1_02_02.RDS","773","294","292","374","1420","171","124","305","853"
"A1_02_03.RDS",1,"A1_02_03.RDS","500","38","26","281","465","31","11","174","288"
"A1_02_04.RDS",2,"A1_02_04.RDS","796","46","25","187","354","34","9","161","160"
"A1_02_05.RDS",1,"A1_02_05.RDS","592","378","198","658","619","272","37","236","98"
"A1_02_06.RDS",2,"A1_02_06.RDS","656","335","345","564","653","210","59","201","105"
"A1_02_07.RDS",1,"A1_02_07.RDS","645","224","131","308","1115","37","50","139","546"
"A1_02_08.RDS",1,"A1_02_08.RDS","736","198","74","227","975","55","40","94","578"
"A1_02_09.RDS",1,"A1_02_09.RDS","1243","309","83","215","117","114","89","96","196"
"A1_02_10.RDS",1,"A1_02_10.RDS","994","283","141","221","113","84","70","79","120"
"A1_02_11.RDS",2,"A1_02_11.RDS","559","1299","108","12","10","367","28","3","1"
"A1_03_01.RDS",2,"A1_03_01.RDS","1014","516","313","521","391","125","60","223","124"
"A1_03_02.RDS",2,"A1_03_02.RDS","1076","485","203","739","596","111","56","387","319"
"A1_03_03.RDS",1,"A1_03_03.RDS","732","140","209","138","968","159","193","308","1196"
"A1_03_04.RDS",1,"A1_03_04.RDS","784","166","94","314","832","111","65","412","767"
"A1_03_06.RDS",2,"A1_03_06.RDS","165","96","27","120","177","87","14","87","85"
"A1_03_07.RDS",1,"A1_03_07.RDS","343","38","18","313","268","39","26","1008","1217"
"A1_03_08.RDS",1,"A1_03_08.RDS","358","166","142","128","187","293","281","717","886"
"A1_03_10.RDS",1,"A1_03_10.RDS","396","145","172","67","144","43","169","16","106"
"A1_03_11.RDS",2,"A1_03_11.RDS","1601","1","1",NA,NA,NA,NA,NA,NA
"A1_03_12.RDS",2,"A1_03_12.RDS","1121","1","7","1","1",NA,NA,NA,NA
"A1_04_02.RDS",1,"A1_04_02.RDS","80","23","52","4","170","35","165","8","362"
"A1_04_03.RDS",1,"A1_04_03.RDS","725","354","544","1044","1828","61","20","125","41"
"A1_04_04.RDS",1,"A1_04_04.RDS","517","391","623","1168","1765","96","25","201","81"
"A1_04_05.RDS",1,"A1_04_05.RDS","1015","76","40","220","618","66","52","181","471"
"A1_04_06.RDS",1,"A1_04_06.RDS","802","150","66","384","519","117","54","251","514"
"A1_04_08.RDS",2,"A1_04_08.RDS","2108","963","172","1072","277","190","25","249","30"
"A1_04_11.RDS",1,"A1_04_11.RDS","375","149","103","236","424","94","88","210","540"
"A1_04_12.RDS",1,"A1_04_12.RDS","565","121","50","382","520","71","39","237","498"
"A1_05_03.RDS",1,"A1_05_03.RDS","839","416","1046","296","618","172","464","96","176"
