"","Name","Intercept","x","y","I(x^2)","I(x * y)","I(y^2)","log(Interaction)","gamma","OptL","LObj","Interaction Distance","Saturation Parameter"
"1","A1_02_01.RDS","-5.30240096769938","0.000973747964859025","0.00160920279914374","-7.36635081827218e-07","-4.53932097879288e-07","-1.13821820482316e-06","-1.18701242156586","0.305131507989951","9.13178721771707","6.41544151738586","10","3"
"2","A1_02_02.RDS","-5.00099921121631","0.000842219473023266","0.0014817623502099","-7.76875145236231e-07","-4.37548310294809e-08","-1.34643572150363e-06","-1.11512052636312","0.327875758845262","9.13183733584359","6.29516693589238","10.5","3"
"3","A1_02_03.RDS","-6.70179196655251","0.00207392430388032","0.000903303026036661","-1.28094226586263e-06","-8.03427548623764e-07","-1.25608483423427e-06","-1.07071240935377","0.342764241964866","9.63914714518297","7.53175220992446","11","3"
"4","A1_02_04.RDS","-6.31696699152932","-0.00116888892812215","0.0016448069873837","-6.2176068382251e-07","1.58868631802377e-06","-1.29393141824539e-06","-0.848197931313069","0.428185857435629","7.6098765293749","6.29916208636565","10","3"
"5","A1_02_05.RDS","-5.78570513963983","0.000838327760764929","0.00141950173845221","-5.59490244004769e-07","-7.46436304831631e-08","-1.96908230449614e-06","-1.15587504212753","0.31478196887043","9.13185140576842","6.59537363268065","10","3"
"6","A1_02_06.RDS","-5.91677781481396","0.000166309148258654","0.00153066690432559","9.4377985171853e-08","-4.62100237460337e-07","-1.22775338808984e-06","-1.12811185720896","0.323643765519431","8.11722717536175","6.68800245942818","10","3"
"7","A1_02_07.RDS","-5.10747619085458","0.000258501507640644","0.00029354893960491","-4.21448574611225e-07","-5.35924646571969e-09","-3.94880745147034e-07","-0.994888585378329","0.36976463943657","9.13182344022103","6.8855876742635","11.5","2"
"8","A1_02_08.RDS","-4.73652812926349","-0.00115604670861644","-0.0014353628206885","4.93190175982253e-07","2.89452145684429e-07","1.22624600577633e-06","-1.05076479813725","0.349670219688523","9.13183408653255","6.62683055413701","10.5","3"
"9","A1_02_09.RDS","-5.96768876217806","0.000516765549432233","0.00118852877483549","-5.40381020013705e-07","-2.3710203046239e-07","-1.27842737087215e-06","-0.879597359381385","0.414949953756437","9.13183977251444","6.47850658141472","11","3"
"10","A1_02_10.RDS","-6.83214623132823","0.00226956634153647","0.000660001115489559","-1.30076476145191e-06","-7.11520505691105e-07","-2.54209236616469e-07","-0.809821426286992","0.444937513272954","9.13183281080748","6.5560197053086","11.5","3"
"11","A1_02_11.RDS","-14.1326056940633","0.0175841606926665","0.00560949840609196","-9.4489644783956e-06","-1.52053532224825e-06","-3.37943558296111e-06","-0.747384695716387","0.473603551869323","7.10254436373776","4.57349091489202","9","3"
"12","A1_03_01.RDS","-5.46647049973077","0.00036724010165013","0.000894929957187785","-4.75489224662113e-07","1.28182039478571e-07","-1.1741865123918e-06","-1.09002429048139","0.336208326945436","8.62455407978933","6.30737746100689","10","3"
"13","A1_03_02.RDS","-5.36905083814766","0.000530220669256442","0.000940596932186098","-3.41250872525661e-07","-3.11779394107922e-07","-8.2395113350982e-07","-1.00101980761697","0.367504466148901","8.11722123848832","6.02234295108761","10","3"
"14","A1_03_03.RDS","-4.92063703243511","0.000384931102508588","0.000850137320923948","-1.78040366507558e-07","-1.05266585174265e-07","-5.82671106097523e-07","-1.07849713305869","0.340106276232803","9.1318460912659","7.27409064155664","12","3"
"15","A1_03_04.RDS","-5.2186050731904","-0.000362089694320306","0.00127345036162169","-9.10881537389365e-07","1.44452945310046e-06","-1.48743809693306e-06","-1.15538248872065","0.314937053992339","9.13183149286887","6.67024273252923","10","3"
"16","A1_03_06.RDS","-13.4240052172807","0.0134033489234567","0.0126768176034353","-1.60164107825645e-05","8.8259242189812e-06","-1.37223471693267e-05","-0.940553304959909","0.39041175882336","5.89513696573794","4.94379578384969","10","3"
"17","A1_03_07.RDS","-6.76376025546448","0.0018953163986188","0.0034873689930818","-6.23353985135049e-07","-2.08333069004897e-06","-1.92107537639072e-06","-0.88374805123814","0.413231193851391","9.13182616652853","5.9739496838643","10.5","3"
"18","A1_03_08.RDS","-5.38927367169876","-0.000310452144996268","0.00172982786157849","-4.04635929635962e-08","1.07015630781903e-07","-1.93656153019687e-06","-0.901341014299954","0.406024809420646","9.13181727106922","6.15616784244292","11","2"
"19","A1_03_10.RDS","-8.11187385741926","0.00114238862397932","-0.000159992437511131","-4.88076460679086e-07","1.49496348617307e-06","-6.52091649629799e-07","0.270981847449506","1.3112512676137","7.10255491157861","5.16504088707193","15","2"
"20","A1_03_11.RDS","-6.05881035602009","0.000425407201690637","-0.00185589433851626","-8.61406489475901e-07","3.63644484946722e-07","1.42032428152277e-06","-1.17699785805148","0.308202619108488","7.60985977943554","6.04988758645065","8","1"
"21","A1_03_12.RDS","-8.14549173423003","0.00309305031292606","-1.41830872471029e-05","-1.95115764721417e-06","-1.51353107400388e-06","9.98161474622721e-07","0.246065453839098","1.27898328516824","6.08794438073186","5.26909308530598","14.5","2"
"22","A1_04_02.RDS","-9.55463665754748","0.0151935228547286","-0.0121546772666147","-1.14963350956862e-05","7.30933183217072e-06","4.80984674713719e-06","-0.957601797890361","0.383812242462727","8.6245059348806","6.37635037861031","11","1"
"23","A1_04_03.RDS","-4.86562843869226","0.000677144760917866","0.00131475271163508","-5.82493825314682e-07","9.55307740542131e-09","-1.33143563285782e-06","-1.18872518331677","0.304609337718356","9.13182118346218","6.87902598534071","10.5","3"
"24","A1_04_04.RDS","-4.45666846179631","-0.000174481355213748","-8.19802132841851e-05","3.5826372187155e-10","-3.02941388305515e-08","5.48625820184352e-08","-1.23314874649286","0.291373669915016","9.13183220961625","6.48901551402858","10","3"
"25","A1_04_05.RDS","-5.92973181757243","0.000542971562435274","0.000601170751040904","-6.27100145815545e-07","5.01846615741434e-07","-7.67369901813567e-07","-0.972948745978485","0.377966864983548","9.13181438092588","6.70195478421729","10.5","3"
"26","A1_04_06.RDS","-5.69310442646116","0.0010128253533162","0.000635771809236742","-1.14799326638598e-06","4.93274735911233e-07","-8.97999811891592e-07","-1.12700721268463","0.324001474367033","9.99995174759888","7.04934339873787","11","3"
"27","A1_04_08.RDS","-4.80087396460606","0.000650639938680514","0.000662573132159495","-9.96786276269316e-07","3.06709341152155e-07","-4.40141430521537e-07","-1.16196631949804","0.312870372529171","8.11718125034101","6.11562480759481","9.5","2"
"28","A1_04_11.RDS","-5.84037697742663","0.00118527289277259","0.000278981421470005","-1.00321082174826e-06","-1.0932975304901e-07","-3.0772405488789e-07","-1.00936722154697","0.364449522427565","9.99995614363501","7.862460323421","13","3"
"29","A1_04_12.RDS","-5.70143451036784","-0.00081756977707857","0.00126977637269023","-1.39839175387179e-07","9.55033769582387e-07","-1.35319225097952e-06","-0.722594787516321","0.485490874498832","8.62451610161832","5.74465563344811","11","3"
"30","A1_05_03.RDS","-5.10366513864232","0.000503357948948914","0.000189758458721833","-3.41904277287648e-07","9.34442963110053e-08","-3.94709532914604e-07","-1.32101244850618","0.266864978096018","9.13182470671021","7.15697118571482","10","3"
"31","A1_05_04.RDS","-5.1014701821806","7.42328864474067e-05","0.00089911658186459","-1.53068131907995e-07","-1.85333383261514e-07","-7.78524590511638e-07","-1.21643028756431","0.296285936998931","8.11718666541199","6.69205300425056","10","3"
"32","A1_05_05.RDS","-4.87659840159829","-0.000423780078324698","0.00042371464282074","8.52925855497471e-08","-8.36433283404604e-08","-6.63600898444997e-07","-0.983560556624577","0.373977158626219","9.13185573658512","7.09901525834437","12","3"
"33","A1_05_07.RDS","-5.40487152852679","0.00124001896977411","0.000440995599537672","-1.04976480856452e-06","-5.40774595184646e-07","-2.84109917965781e-07","-1.18756148412142","0.304964017689929","9.99994362816284","8.16905308882161","14","3"
"34","A1_05_08.RDS","-5.66567167706695","0.00102690820704626","0.000901861708607674","-8.99802574984725e-07","1.29868994066284e-07","-7.83811145825892e-07","-1.10488885021839","0.33124769830522","9.13184459201728","8.1359704019554","13","3"
"35","A1_05_09.RDS","-5.5714234244032","-5.54873313789807e-05","0.000646792860899732","1.62915986611882e-07","-3.02335255541932e-07","-5.88025292450028e-07","-0.949997537349515","0.386741975863643","7.60989371496956","6.57122185931386","14","3"
"36","A1_05_10.RDS","-5.77034180754911","0.000722327707038925","0.000732077870725072","-4.61394302323231e-07","-5.00220229388609e-07","-5.18507230623555e-07","-0.968173447134424","0.379776086064623","9.1318508394231","7.75622515883508","13.5","3"
"37","A1_05_11.RDS","-5.82359237825363","-4.30468759884034e-05","-0.000152502634925808","-7.66132561604942e-08","2.40120961743288e-07","-2.87210527680693e-07","-0.926201311431702","0.396055347360679","9.99992603544642","6.88346153569393","12","3"
"38","A1_06_01.RDS","-6.32856405833692","0.00076680457372029","-3.40773048080805e-05","-4.42808112600454e-07","-8.1724754933146e-07","5.32316340161453e-07","-0.820606913630704","0.440164431630291","8.62450004648967","5.99154158597262","10","3"
"39","A1_06_02.RDS","-6.30452623000534","0.00189530931016064","-0.000960319393640234","-1.44141765300452e-06","5.51295465528903e-07","1.05694650465221e-06","-1.08837821743763","0.336762206147258","9.13183368703467","6.86324524164077","10.5","3"
"40","A1_06_03.RDS","-4.40163777088767","-0.000692683110345015","-0.000482358471475312","3.73507880962616e-07","4.40295531720246e-09","2.34470785176427e-07","-1.20166516940291","0.300693089868531","9.13185123533099","7.2979586348024","11","3"
"41","A1_06_04.RDS","-6.14403167515105","0.00216606666541164","0.003635452388202","-8.75272495949634e-07","-1.62204614317246e-06","-2.22638391289397e-06","-0.971354300862408","0.378569993105029","9.13189262197933","6.85246486744641","12","3"
"42","A1_06_05.RDS","-5.70376542648265","0.00133723986347975","0.00260669797976396","-8.65376110994462e-07","-6.11118012197271e-07","-2.30268210733306e-06","-0.926236418742818","0.396041443166451","8.11722288289847","6.31362858032711","12","2"
"43","A1_06_06.RDS","-5.45438099506499","0.000859952466871334","0.00167794594295176","-5.50417100252018e-07","-5.46673014380033e-07","-1.30192648338269e-06","-1.0063068284669","0.365566589684618","8.62455055141343","6.99612701932761","12","3"
